Features_ 1,Features_ 2,Features_ 3,Features_ 4,Features_ 5,Features_ 6,Features_ 7,Features_ 8,Features_ 9,Features_10,Features_11,Features_12,Features_13,Features_14,Features_15,Features_16,labels
105.4867,108.564,109.1737,57.91224,10.41631,44.62672,6.499019,-0.0006388558,-0.0006388558,62.40273,0.2436464,0.0146683,-0.00659637,0.009167417,-0.0006778436,-0.0002743613,twenty_pence
92.25455,96.44293,103.5621,45.5263,0,41.48094,0,0,0,25.6069,0.2732954,0.625955,-0.04592216,-0.1520628,-0.02705729,0.2019967,twenty_pence
151.3636,159.4756,155.9075,47.91347,0,46.95299,0,1.984981e-05,1.984981e-05,6.295803,0.1583482,0.0004672126,1.430211e-05,4.482541e-06,1.466398e-07,2.221356e-07,twenty_pence
172.7701,172.9513,170.5327,47.88372,0,47.20523,0,-0.0004622323,-0.0004622323,3.119568,0.1562385,3.02522e-06,6.663693e-08,1.06806e-08,4.651941e-11,-8.300809e-11,twenty_pence
82.2468,85.31909,84.91418,56.87324,0,45.63802,0,0,0,5.131005,0.1710536,0.008635772,0.0006563725,0.003133134,0.0001854373,0.0004184401,twenty_pence
122.8753,123.5188,125.5708,47.63229,0,46.59053,0,0.0004648926,0.0004648926,32.67763,0.2430471,0.4128696,-0.01260046,0.01827749,0.009418915,0.04052483,twenty_pence
113.2547,117.2861,120.1149,45.85479,27.38767,16.21366,25.52493,0,0,30.50903,0.4586478,4.852565,0.05014643,-2.214618,-3.781833,-1.223946,twenty_pence
117.7946,119.9217,127.0931,47.42767,0,38.27219,0,0,0,32.65776,0.2185585,0.002220914,-0.0005596514,0.0008601098,2.605329e-05,6.385102e-05,twenty_pence
112.2188,113.387,121.679,57.19853,18.05878,32.77038,12.23777,0,0,26.03005,0.5341563,1.17714,-0.3967658,-1.335753,-0.2867225,-2.788077,twenty_pence
146.3546,148.898,147.8109,48.00333,0,46.59246,0,-0.0039659,-0.0039659,5.436004,0.1599194,4.094045e-05,9.37166e-07,1.71426e-06,-7.456554e-09,-2.093376e-09,twenty_pence
99.27579,109.8335,112.6549,60.00784,0,57.22377,0,-0.001340464,-0.001340464,60.15422,0.1861006,0.0001520679,-9.801292e-06,9.194986e-06,2.187474e-07,-1.830667e-07,fifty_pence
99.17706,109.8687,112.0281,60.16959,0,56.11816,0,-0.0007717813,-0.0007717813,57.32995,0.181317,0.0001669804,1.186252e-05,-1.742441e-05,-4.063455e-07,-4.288171e-08,fifty_pence
92.56264,94.48892,101.1694,57.24597,0,52.52631,0,-0.001968385,-0.001968385,19.00385,0.1740888,0.007792978,-0.0002439728,0.00113913,0.0001508039,6.926921e-05,fifty_pence
109.857,116.5404,121.5928,59.60997,0,57.90777,0,0.002186803,0.002186803,61.69624,0.1849834,0.001109431,-5.273783e-06,-5.922878e-05,-7.25481e-07,-1.378052e-06,fifty_pence
142.5914,149.402,152.4443,59.69732,0,58.62659,0,-8.051944e-05,-8.051944e-05,18.89381,0.1646321,0.0009290316,9.836176e-06,2.588323e-05,1.54024e-06,9.052749e-07,fifty_pence
119.4793,134.2076,144.394,54.31337,0,52.55767,0,0.0004470289,0.0004470289,5.159481,0.1736588,0.0005223293,1.768867e-05,-2.399343e-05,-7.305001e-07,-9.071605e-07,washer_sml_hole
70.35156,76.29763,76.25781,66.06563,0,53.42453,0,-0.006140959,-0.006140959,3.716014,0.1677495,0.009134391,0.00187374,-0.00260315,0.0002297978,-8.725399e-05,washer_sml_hole
136.8291,149.5161,152.6387,55.08205,0,53.17828,0,-0.0002338368,-0.0002338368,6.57137,0.1703486,3.783621e-05,-1.762043e-06,-1.426618e-06,-2.338373e-08,1.517324e-09,washer_sml_hole
139.3805,153.5483,160.6464,54.96928,0,53.63721,0,-0.0001534435,-0.0001534435,3.70497,0.1676149,1.943816e-05,7.163835e-07,3.548731e-07,-1.575472e-09,-1.258419e-09,washer_sml_hole
105.9258,110.5051,122.1976,54.9981,18.91883,48.46155,4.488801,0,0,24.6417,0.226309,0.04964354,0.003444064,0.006656745,0.001089596,-0.001687431,washer_sml_hole
70.81049,76.18044,74.79082,65.82117,0,52.97131,0,-0.005577237,-0.005577237,3.090397,0.1712463,0.01910207,0.004800647,-0.005091244,0.001003857,-0.0002185126,washer_sml_hole
71.13216,78.35612,77.58209,68.92262,0,59.68555,0,-0.003211959,-0.003211959,2.281519,0.1661321,0.007886532,-0.001761261,-0.0006372802,-0.0003101183,-0.0002185773,washer_sml_hole
82.42889,85.22056,92.23222,51.45408,0,49.95013,0,-0.002636625,-0.002636625,1.399017,0.1656712,3.495377e-06,-4.998482e-08,1.643911e-07,1.95602e-10,3.648803e-11,washer_sml_hole
113.6314,122.5355,131.7324,59.00573,0,58.12757,0,0.0002392437,0.0002392437,5.9391,0.252619,0.0008085839,-3.040418e-05,-3.775688e-06,-5.935843e-07,-7.312195e-07,washer_lg_hole
100.6348,105.7567,110.8827,58.14438,0,54.52858,0,-0.001637137,-0.001637137,27.54909,0.2770457,0.03043175,0.001795805,0.005101022,-4.051425e-06,0.0008762757,washer_lg_hole
104.7544,111.3721,116.6279,56.5078,0,53.73019,0,-3.058451e-05,-3.058451e-05,29.57421,0.2760763,0.01160631,-0.00151118,-0.0005679696,0.0001958308,-8.402087e-05,washer_lg_hole
115.2483,123.7969,131.7369,58.91585,0,57.90899,0,4.479053e-05,4.479053e-05,10.33316,0.2463997,0.0002932822,-2.115874e-06,1.227925e-05,9.425091e-08,1.845194e-07,washer_lg_hole
109.2698,115.5571,122.459,57.54152,0,53.70825,0,0.0001754361,0.0001754361,27.94506,0.2712351,0.005708714,-0.0007270437,0.0007799218,-3.556824e-05,8.252123e-05,washer_lg_hole
115.1575,123.8047,131.5586,58.94141,0,57.15442,0,-0.0001368429,-0.0001368429,8.977103,0.2496639,0.0003713249,2.494975e-06,-2.843465e-05,-2.932395e-07,-7.469251e-07,washer_lg_hole
103.269,107.2435,114.7573,56.01085,0,54.67422,0,0.00103162,0.00103162,22.4635,0.2685041,0.01841456,-0.001058317,0.0005538983,-6.504889e-05,-8.659804e-05,washer_lg_hole
112.516,119.5819,129.0484,59.70811,0,58.83652,0,1.210847e-05,1.210847e-05,8.213305,0.2597948,0.002400397,4.513872e-05,7.985589e-05,-9.321588e-06,5.050097e-06,washer_lg_hole
104.8883,111.2665,116.9544,56.15702,0,54.37796,0,0.000511118,0.000511118,34.7287,0.2744507,0.02050063,-0.0006919668,-0.001674086,-0.0004353502,0.0001402777,washer_lg_hole
113.7795,122.598,131.7294,58.79454,0,58.40587,0,-0.0009544701,-0.0009544701,7.027088,0.2550234,0.001086973,-1.216824e-05,1.379216e-05,5.816655e-07,-3.479354e-07,washer_lg_hole
100.3611,105.6044,111.0776,58.59037,0,54.523,0,-0.00173425,-0.00173425,25.62926,0.2889055,0.05733008,0.0007463536,0.01187771,-0.001208253,0.001979907,washer_lg_hole
86.12521,93.92646,94.72389,67.50887,0,64.22137,0,0,0,11.36177,0.2260088,0.02677798,0.00299822,-0.0003603414,-0.002999132,-0.003628699,washer_lg_hole
98.31834,105.1774,112.8737,55.32614,0,52.9916,0,0,0,19.93266,0.3434237,0.02564012,-0.003577454,-0.001268135,0.002155655,-0.0004988595,washer_lg_hole
131.6951,139.9958,146.5288,56.80483,0,55.41207,0,-2.638482e-05,-2.638482e-05,8.513824,0.2445594,0.001447066,-7.124269e-05,5.143495e-05,-1.577355e-06,2.754116e-07,washer_lg_hole
89.99464,98.741,105.1484,58.00453,14.68772,52.01944,5.404962,0,0,18.11973,0.227928,0.04553289,-0.0003417404,0.004674606,-0.002128618,0.0002894202,washer_lg_hole
142.1301,149.3569,150.1464,58.52247,0,56.5337,0,-3.984532e-05,-3.984532e-05,9.328234,0.2359402,0.001246841,5.086006e-05,-8.808044e-05,-1.662204e-07,1.320252e-06,washer_lg_hole
100.1757,108.9404,115.6602,16.06075,56.06067,6.671409,53.33307,-0.003586877,-0.003586877,21.91781,0.2717049,0.002580332,-4.195892e-05,-0.0004278267,4.096668e-06,-9.509957e-05,washer_lg_hole
87.31892,92.06915,97.31267,47.97509,0,44.49246,0,-0.002196088,-0.002196088,4.728594,0.1645829,0.0003242836,4.294408e-06,3.994082e-05,-7.330947e-07,1.057112e-06,nut
81.86564,88.9054,90.85855,66.9155,0,52.38638,0,-0.000379972,-0.000379972,6.696121,0.1741962,0.005768079,0.002401631,0.0002282384,6.13225e-05,3.749581e-05,nut
79.47615,84.1093,81.44218,85.10767,0,82.13391,0,-0.004337737,-0.004337737,6.49992,0.173422,0.002196925,0.0001186288,6.542433e-05,2.418933e-05,5.755282e-05,angle_bracket
114.8752,117.9965,118.0321,93.30749,0,49.88546,0,0.0005934365,0.0005934365,12.49173,0.2565077,0.5769652,-0.8221409,-0.00802135,-1.189571,-0.0812363,angle_bracket
113.0714,115.7169,116.3371,6.838059,93.46691,5.580764,51.79002,0.0002901946,0.0002901946,12.36868,0.2518453,0.3822124,-0.5025132,0.133435,-0.5360393,0.09203449,angle_bracket
96.18648,97.97346,99.89907,77.37628,0,68.80476,0,-0.0003043606,-0.0003043606,12.32151,0.229496,0.5024124,-0.06536938,0.1178751,-0.846996,-0.03695447,angle_bracket
98.03098,104.1326,103.6581,84.0271,0,62.4435,0,0.002393849,0.002393849,9.983108,0.2144475,0.4617626,0.1698235,-0.2297561,0.4409317,-0.5359665,angle_bracket
77.81232,81.42686,79.97957,119.1426,0,56.96401,0,0,0,5.761958,0.2202801,0.04195678,0.05742291,0.008431891,0.004228267,-0.0002594425,angle_bracket
